2026/08/27 14:07:11.519, 1680 MHz, 26.08 W, 175.00 W, 47, 15202 MiB
2026/08/27 14:07:12.521, 772 MHz, 78.56 W, 175.00 W, 55, 15214 MiB
2026/08/27 14:07:13.522, 2437 MHz, 174.86 W, 175.00 W, 58, 15214 MiB
2026/08/27 14:07:14.523, 2340 MHz, 172.07 W, 175.00 W, 59, 15214 MiB
2026/08/27 14:07:15.524, 2332 MHz, 172.60 W, 175.00 W, 59, 15214 MiB
2026/08/27 14:07:16.526, 2332 MHz, 172.11 W, 175.00 W, 60, 15214 MiB
2026/08/27 14:07:17.527, 2302 MHz, 172.67 W, 175.00 W, 60, 15214 MiB
2026/08/27 14:07:18.530, 2295 MHz, 172.35 W, 175.00 W, 61, 15214 MiB
2026/08/27 14:07:19.532, 2302 MHz, 172.25 W, 175.00 W, 61, 15214 MiB
2026/08/27 14:07:20.533, 2257 MHz, 172.03 W, 175.00 W, 62, 15214 MiB
2026/08/27 14:07:21.534, 2257 MHz, 172.70 W, 175.00 W, 62, 15214 MiB
2026/08/27 14:07:22.535, 2272 MHz, 172.47 W, 175.00 W, 63, 15214 MiB
2026/08/27 14:07:23.536, 2437 MHz, 172.48 W, 175.00 W, 64, 15214 MiB
2026/08/27 14:07:24.537, 2295 MHz, 172.50 W, 175.00 W, 64, 15214 MiB
2026/08/27 14:07:25.539, 2280 MHz, 172.64 W, 175.00 W, 64, 15214 MiB
2026/08/27 14:07:26.540, 1012 MHz, 125.67 W, 175.00 W, 57, 15214 MiB
2026/08/27 14:07:27.542, 2347 MHz, 174.54 W, 175.00 W, 63, 15214 MiB
2026/08/27 14:07:28.543, 2317 MHz, 169.55 W, 175.00 W, 65, 15214 MiB
2026/08/27 14:07:29.545, 2317 MHz, 172.28 W, 175.00 W, 65, 15214 MiB
2026/08/27 14:07:30.546, 2272 MHz, 171.69 W, 175.00 W, 66, 15214 MiB
2026/08/27 14:07:31.547, 2265 MHz, 172.11 W, 175.00 W, 66, 15214 MiB
2026/08/27 14:07:32.548, 2407 MHz, 172.26 W, 175.00 W, 67, 15214 MiB
2026/08/27 14:07:33.550, 2272 MHz, 172.72 W, 175.00 W, 67, 15214 MiB
2026/08/27 14:07:34.551, 2272 MHz, 171.73 W, 175.00 W, 67, 15214 MiB
2026/08/27 14:07:35.552, 2287 MHz, 172.15 W, 175.00 W, 66, 15214 MiB
2026/08/27 14:07:36.553, 840 MHz, 128.28 W, 175.00 W, 66, 15216 MiB
2026/08/27 14:07:37.555, 2227 MHz, 172.46 W, 175.00 W, 66, 15216 MiB
2026/08/27 14:07:38.556, 2242 MHz, 172.73 W, 175.00 W, 67, 15216 MiB
2026/08/27 14:07:39.557, 2280 MHz, 172.70 W, 175.00 W, 68, 15216 MiB
2026/08/27 14:07:40.558, 2265 MHz, 172.56 W, 175.00 W, 68, 15216 MiB
2026/08/27 14:07:41.559, 2257 MHz, 172.03 W, 175.00 W, 68, 15216 MiB
2026/08/27 14:07:42.561, 2302 MHz, 172.03 W, 175.00 W, 69, 15216 MiB
2026/08/27 14:07:43.561, 2265 MHz, 171.79 W, 175.00 W, 69, 15216 MiB
2026/08/27 14:07:44.563, 2242 MHz, 171.96 W, 175.00 W, 69, 15216 MiB
2026/08/27 14:07:45.564, 2272 MHz, 172.30 W, 175.00 W, 69, 15216 MiB
