2026/08/27 14:32:06.544, 1665 MHz, 35.60 W, 175.00 W, 49, 14690 MiB
2026/08/27 14:32:07.546, 1695 MHz, 70.47 W, 175.00 W, 51, 14702 MiB
2026/08/27 14:32:08.547, 2325 MHz, 174.52 W, 175.00 W, 58, 14702 MiB
2026/08/27 14:32:09.548, 2302 MHz, 172.04 W, 175.00 W, 59, 14702 MiB
2026/08/27 14:32:10.549, 2302 MHz, 173.03 W, 175.00 W, 60, 14702 MiB
2026/08/27 14:32:11.550, 2257 MHz, 170.79 W, 175.00 W, 61, 14702 MiB
2026/08/27 14:32:12.552, 2242 MHz, 172.31 W, 175.00 W, 61, 14702 MiB
2026/08/27 14:32:13.553, 2400 MHz, 173.05 W, 175.00 W, 62, 14702 MiB
2026/08/27 14:32:14.554, 2272 MHz, 172.52 W, 175.00 W, 62, 14702 MiB
2026/08/27 14:32:15.555, 2272 MHz, 172.60 W, 175.00 W, 63, 14702 MiB
2026/08/27 14:32:16.556, 2272 MHz, 171.51 W, 175.00 W, 63, 14702 MiB
2026/08/27 14:32:17.557, 2280 MHz, 172.53 W, 175.00 W, 64, 14702 MiB
2026/08/27 14:32:18.558, 2295 MHz, 172.77 W, 175.00 W, 65, 14702 MiB
2026/08/27 14:32:19.559, 2257 MHz, 172.82 W, 175.00 W, 65, 14702 MiB
2026/08/27 14:32:20.561, 2250 MHz, 172.25 W, 175.00 W, 65, 14702 MiB
2026/08/27 14:32:21.562, 2265 MHz, 172.79 W, 175.00 W, 65, 14702 MiB
2026/08/27 14:32:22.563, 1672 MHz, 128.29 W, 175.00 W, 65, 14702 MiB
2026/08/27 14:32:23.564, 2115 MHz, 171.65 W, 175.00 W, 66, 14702 MiB
2026/08/27 14:32:24.565, 2190 MHz, 171.90 W, 175.00 W, 66, 14702 MiB
2026/08/27 14:32:25.566, 2242 MHz, 172.54 W, 175.00 W, 66, 14702 MiB
2026/08/27 14:32:26.567, 2272 MHz, 172.12 W, 175.00 W, 67, 14702 MiB
2026/08/27 14:32:27.569, 2265 MHz, 170.98 W, 175.00 W, 67, 14702 MiB
2026/08/27 14:32:28.570, 2250 MHz, 172.58 W, 175.00 W, 67, 14702 MiB
2026/08/27 14:32:29.572, 2257 MHz, 172.48 W, 175.00 W, 68, 14702 MiB
2026/08/27 14:32:30.573, 2257 MHz, 172.19 W, 175.00 W, 68, 14702 MiB
2026/08/27 14:32:31.574, 2287 MHz, 171.86 W, 175.00 W, 68, 14702 MiB
2026/08/27 14:32:32.575, 622 MHz, 125.85 W, 175.00 W, 62, 14704 MiB
2026/08/27 14:32:33.576, 2295 MHz, 173.80 W, 175.00 W, 68, 14704 MiB
2026/08/27 14:32:34.577, 2272 MHz, 172.74 W, 175.00 W, 69, 14704 MiB
2026/08/27 14:32:35.579, 2287 MHz, 172.19 W, 175.00 W, 69, 14704 MiB
2026/08/27 14:32:36.580, 2272 MHz, 171.69 W, 175.00 W, 69, 14704 MiB
2026/08/27 14:32:37.581, 2272 MHz, 171.71 W, 175.00 W, 69, 14704 MiB
2026/08/27 14:32:38.583, 2280 MHz, 172.34 W, 175.00 W, 69, 14704 MiB
2026/08/27 14:32:39.584, 2265 MHz, 172.27 W, 175.00 W, 70, 14704 MiB
2026/08/27 14:32:40.586, 2242 MHz, 170.08 W, 175.00 W, 70, 14704 MiB
2026/08/27 14:32:41.587, 2250 MHz, 172.88 W, 175.00 W, 70, 14704 MiB
