2026/08/27 14:10:32.794, 1492 MHz, 25.66 W, 175.00 W, 50, 13376 MiB
2026/08/27 14:10:33.797, 2167 MHz, 88.64 W, 175.00 W, 52, 13386 MiB
2026/08/27 14:10:34.798, 2130 MHz, 159.99 W, 175.00 W, 59, 13386 MiB
2026/08/27 14:10:35.799, 2130 MHz, 160.60 W, 175.00 W, 60, 13386 MiB
2026/08/27 14:10:36.800, 2092 MHz, 157.32 W, 175.00 W, 60, 13386 MiB
2026/08/27 14:10:37.802, 2085 MHz, 158.46 W, 175.00 W, 61, 13386 MiB
2026/08/27 14:10:38.803, 2085 MHz, 158.96 W, 175.00 W, 61, 13386 MiB
2026/08/27 14:10:39.804, 2077 MHz, 157.49 W, 175.00 W, 61, 13386 MiB
2026/08/27 14:10:40.805, 2085 MHz, 158.29 W, 175.00 W, 62, 13386 MiB
2026/08/27 14:10:41.806, 2092 MHz, 160.18 W, 175.00 W, 63, 13386 MiB
2026/08/27 14:10:42.807, 2077 MHz, 160.23 W, 175.00 W, 63, 13386 MiB
2026/08/27 14:10:43.808, 2092 MHz, 160.79 W, 175.00 W, 63, 13386 MiB
2026/08/27 14:10:44.809, 2077 MHz, 158.74 W, 175.00 W, 62, 13386 MiB
2026/08/27 14:10:45.810, 2070 MHz, 159.47 W, 175.00 W, 63, 13386 MiB
2026/08/27 14:10:46.811, 2070 MHz, 160.22 W, 175.00 W, 64, 13386 MiB
2026/08/27 14:10:47.811, 2070 MHz, 160.17 W, 175.00 W, 65, 13386 MiB
2026/08/27 14:10:48.813, 2062 MHz, 159.03 W, 175.00 W, 65, 13386 MiB
2026/08/27 14:10:49.814, 2070 MHz, 159.80 W, 175.00 W, 65, 13386 MiB
2026/08/27 14:10:50.815, 2100 MHz, 159.99 W, 175.00 W, 65, 13386 MiB
2026/08/27 14:10:51.816, 2100 MHz, 158.99 W, 175.00 W, 66, 13386 MiB
2026/08/27 14:10:52.818, 2070 MHz, 159.70 W, 175.00 W, 66, 13386 MiB
2026/08/27 14:10:53.819, 2100 MHz, 160.71 W, 175.00 W, 66, 13386 MiB
2026/08/27 14:10:54.820, 1627 MHz, 122.61 W, 175.00 W, 66, 13386 MiB
2026/08/27 14:10:55.821, 2092 MHz, 160.12 W, 175.00 W, 67, 13386 MiB
2026/08/27 14:10:56.823, 2092 MHz, 160.01 W, 175.00 W, 67, 13386 MiB
2026/08/27 14:10:57.823, 2070 MHz, 158.69 W, 175.00 W, 67, 13386 MiB
2026/08/27 14:10:58.824, 2107 MHz, 160.31 W, 175.00 W, 67, 13386 MiB
2026/08/27 14:10:59.825, 2107 MHz, 151.93 W, 175.00 W, 68, 13386 MiB
2026/08/27 14:11:00.826, 2115 MHz, 142.07 W, 175.00 W, 67, 13386 MiB
2026/08/27 14:11:01.827, 1867 MHz, 154.19 W, 175.00 W, 68, 13388 MiB
2026/08/27 14:11:02.829, 2070 MHz, 158.43 W, 175.00 W, 68, 13388 MiB
2026/08/27 14:11:03.830, 2092 MHz, 159.93 W, 175.00 W, 68, 13388 MiB
2026/08/27 14:11:04.831, 2085 MHz, 160.89 W, 175.00 W, 68, 13388 MiB
2026/08/27 14:11:05.832, 2092 MHz, 160.88 W, 175.00 W, 68, 13388 MiB
2026/08/27 14:11:06.833, 2092 MHz, 161.55 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:11:07.834, 2100 MHz, 161.23 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:11:08.836, 2085 MHz, 160.40 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:11:09.838, 2092 MHz, 161.90 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:11:10.839, 2085 MHz, 161.94 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:11:11.840, 2085 MHz, 161.91 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:11:12.841, 2085 MHz, 159.25 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:11:13.842, 2092 MHz, 162.72 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:11:14.844, 2182 MHz, 145.74 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:11:15.845, 1897 MHz, 126.06 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:11:16.846, 2100 MHz, 162.49 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:11:17.847, 2107 MHz, 157.73 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:11:18.848, 2062 MHz, 156.86 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:11:19.849, 2070 MHz, 147.16 W, 175.00 W, 68, 13388 MiB
2026/08/27 14:11:20.850, 1725 MHz, 153.81 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:11:21.852, 1747 MHz, 151.24 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:11:22.855, 2085 MHz, 140.48 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:11:23.856, 2017 MHz, 149.02 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:11:24.857, 2085 MHz, 159.51 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:11:25.859, 1785 MHz, 155.44 W, 175.00 W, 72, 13388 MiB
2026/08/27 14:11:26.859, 2070 MHz, 156.51 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:11:27.861, 2107 MHz, 150.90 W, 175.00 W, 72, 13388 MiB
2026/08/27 14:11:28.863, 2055 MHz, 124.32 W, 174.25 W, 72, 13388 MiB
2026/08/27 14:11:29.864, 2100 MHz, 153.17 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:11:30.865, 1942 MHz, 154.16 W, 175.00 W, 72, 13388 MiB
2026/08/27 14:11:31.866, 2137 MHz, 146.14 W, 175.00 W, 72, 13388 MiB
2026/08/27 14:11:32.870, 1950 MHz, 147.66 W, 175.00 W, 73, 13388 MiB
2026/08/27 14:11:33.871, 2025 MHz, 155.84 W, 175.00 W, 72, 13388 MiB
2026/08/27 14:11:34.872, 1627 MHz, 193.83 W, 175.00 W, 73, 13388 MiB
2026/08/27 14:11:35.887, 2092 MHz, 155.63 W, 175.00 W, 73, 13390 MiB
