2026/08/27 20:03:40.065, 285 MHz, 20.36 W, 175.00 W, 42, 14946 MiB
2026/08/27 20:03:41.084, 825 MHz, 78.10 W, 175.00 W, 48, 14958 MiB
2026/08/27 20:03:42.098, 2452 MHz, 174.23 W, 175.00 W, 53, 14958 MiB
2026/08/27 20:03:43.111, 2460 MHz, 173.97 W, 175.00 W, 55, 14958 MiB
2026/08/27 20:03:44.119, 2422 MHz, 172.73 W, 175.00 W, 56, 14958 MiB
2026/08/27 20:03:45.120, 2317 MHz, 172.93 W, 175.00 W, 56, 14958 MiB
2026/08/27 20:03:46.121, 2310 MHz, 172.50 W, 175.00 W, 56, 14958 MiB
2026/08/27 20:03:47.122, 2325 MHz, 172.86 W, 175.00 W, 57, 14958 MiB
2026/08/27 20:03:48.123, 2422 MHz, 172.99 W, 175.00 W, 58, 14958 MiB
2026/08/27 20:03:49.136, 2302 MHz, 172.82 W, 175.00 W, 58, 14958 MiB
2026/08/27 20:03:50.154, 2287 MHz, 172.16 W, 175.00 W, 59, 14958 MiB
2026/08/27 20:03:51.170, 2310 MHz, 172.64 W, 175.00 W, 59, 14958 MiB
2026/08/27 20:03:52.170, 2280 MHz, 172.99 W, 175.00 W, 59, 14958 MiB
2026/08/27 20:03:53.171, 2422 MHz, 173.12 W, 175.00 W, 61, 14958 MiB
2026/08/27 20:03:54.172, 2280 MHz, 139.52 W, 175.00 W, 53, 14958 MiB
2026/08/27 20:03:55.174, 2355 MHz, 162.03 W, 175.00 W, 61, 14958 MiB
2026/08/27 20:03:56.174, 2332 MHz, 172.36 W, 175.00 W, 61, 14958 MiB
2026/08/27 20:03:57.181, 2340 MHz, 172.06 W, 175.00 W, 62, 14958 MiB
2026/08/27 20:03:58.189, 2295 MHz, 172.32 W, 175.00 W, 63, 14958 MiB
2026/08/27 20:03:59.193, 2265 MHz, 172.55 W, 175.00 W, 62, 14958 MiB
2026/08/27 20:04:00.194, 2430 MHz, 172.95 W, 175.00 W, 63, 14958 MiB
2026/08/27 20:04:01.195, 2377 MHz, 172.55 W, 175.00 W, 64, 14958 MiB
2026/08/27 20:04:02.196, 2272 MHz, 172.87 W, 175.00 W, 63, 14958 MiB
2026/08/27 20:04:03.197, 2265 MHz, 172.46 W, 175.00 W, 64, 14958 MiB
2026/08/27 20:04:04.198, 1222 MHz, 125.00 W, 175.00 W, 61, 14960 MiB
2026/08/27 20:04:05.204, 2347 MHz, 174.55 W, 175.00 W, 63, 14960 MiB
2026/08/27 20:04:06.213, 2332 MHz, 172.61 W, 175.00 W, 64, 14960 MiB
2026/08/27 20:04:07.216, 2325 MHz, 173.18 W, 175.00 W, 65, 14960 MiB
2026/08/27 20:04:08.217, 2302 MHz, 172.42 W, 175.00 W, 65, 14960 MiB
2026/08/27 20:04:09.218, 2280 MHz, 172.68 W, 175.00 W, 66, 14960 MiB
2026/08/27 20:04:10.220, 2295 MHz, 172.48 W, 175.00 W, 66, 14960 MiB
2026/08/27 20:04:11.221, 2272 MHz, 172.77 W, 175.00 W, 66, 14960 MiB
2026/08/27 20:04:12.222, 2265 MHz, 172.47 W, 175.00 W, 66, 14960 MiB
2026/08/27 20:04:13.245, 2280 MHz, 172.83 W, 175.00 W, 66, 14960 MiB
