2026/08/27 14:30:39.927, 1492 MHz, 25.07 W, 175.00 W, 44, 14498 MiB
2026/08/27 14:30:40.929, 907 MHz, 55.26 W, 175.00 W, 49, 14510 MiB
2026/08/27 14:30:41.929, 2362 MHz, 173.74 W, 175.00 W, 56, 14510 MiB
2026/08/27 14:30:42.930, 2415 MHz, 172.22 W, 175.00 W, 55, 14510 MiB
2026/08/27 14:30:43.931, 2580 MHz, 172.69 W, 175.00 W, 57, 14510 MiB
2026/08/27 14:30:44.932, 2557 MHz, 171.96 W, 175.00 W, 58, 14510 MiB
2026/08/27 14:30:45.933, 2542 MHz, 172.76 W, 175.00 W, 59, 14510 MiB
2026/08/27 14:30:46.934, 2557 MHz, 172.91 W, 175.00 W, 59, 14510 MiB
2026/08/27 14:30:47.935, 2542 MHz, 173.17 W, 175.00 W, 60, 14510 MiB
2026/08/27 14:30:48.936, 2512 MHz, 171.54 W, 175.00 W, 61, 14510 MiB
2026/08/27 14:30:49.937, 2505 MHz, 173.20 W, 175.00 W, 62, 14510 MiB
2026/08/27 14:30:50.938, 2512 MHz, 173.35 W, 175.00 W, 62, 14510 MiB
2026/08/27 14:30:51.939, 2535 MHz, 172.84 W, 175.00 W, 63, 14510 MiB
2026/08/27 14:30:52.940, 2535 MHz, 173.25 W, 175.00 W, 63, 14510 MiB
2026/08/27 14:30:53.941, 2542 MHz, 173.26 W, 175.00 W, 63, 14510 MiB
2026/08/27 14:30:54.942, 817 MHz, 131.98 W, 175.00 W, 64, 14510 MiB
2026/08/27 14:30:55.943, 2385 MHz, 161.55 W, 175.00 W, 63, 14510 MiB
2026/08/27 14:30:56.944, 2325 MHz, 169.85 W, 175.00 W, 63, 14510 MiB
2026/08/27 14:30:57.945, 2332 MHz, 171.57 W, 175.00 W, 63, 14510 MiB
2026/08/27 14:30:58.946, 2295 MHz, 171.82 W, 175.00 W, 63, 14510 MiB
2026/08/27 14:30:59.948, 2287 MHz, 172.57 W, 175.00 W, 64, 14510 MiB
2026/08/27 14:31:00.949, 2295 MHz, 172.50 W, 175.00 W, 65, 14510 MiB
2026/08/27 14:31:01.950, 2250 MHz, 171.33 W, 175.00 W, 65, 14510 MiB
2026/08/27 14:31:02.951, 2265 MHz, 172.77 W, 175.00 W, 65, 14510 MiB
2026/08/27 14:31:03.952, 2287 MHz, 172.01 W, 175.00 W, 66, 14510 MiB
2026/08/27 14:31:04.953, 765 MHz, 127.47 W, 175.00 W, 66, 14512 MiB
2026/08/27 14:31:05.955, 2257 MHz, 163.18 W, 175.00 W, 67, 14512 MiB
2026/08/27 14:31:06.957, 2265 MHz, 172.82 W, 175.00 W, 67, 14512 MiB
2026/08/27 14:31:07.960, 2295 MHz, 170.81 W, 175.00 W, 67, 14512 MiB
2026/08/27 14:31:08.962, 2287 MHz, 172.43 W, 175.00 W, 67, 14512 MiB
2026/08/27 14:31:09.964, 2280 MHz, 171.74 W, 175.00 W, 67, 14512 MiB
2026/08/27 14:31:10.966, 2265 MHz, 172.08 W, 175.00 W, 68, 14512 MiB
2026/08/27 14:31:11.969, 2272 MHz, 172.10 W, 175.00 W, 68, 14512 MiB
2026/08/27 14:31:12.971, 2250 MHz, 172.04 W, 175.00 W, 68, 14512 MiB
2026/08/27 14:31:13.973, 2265 MHz, 172.69 W, 175.00 W, 67, 14512 MiB
